;PK_IRP;BITOLA;QTD;ACABAMENTO 1;ACABAMENTO 2;PRIORIDADE
1806;678860;24.0;2000;1-175102-1;Vazio;0
1808;678862;24.0;2000;1-175102-1;Vazio;0
1809;678863;24.0;2000;1-175102-1;Vazio;0
1807;678861;24.0;2000;1-175102-1;Vazio;0
1293;677701;26.0;6;1-175102-1;1-175102-1;1
1377;677785;26.0;3;1-175102-1;1-175102-1;1
1292;677700;26.0;6;1-175102-1;1-175102-1;1
1291;677699;26.0;1;1-175102-1;1-175102-1;1
1290;677698;26.0;1;1-175102-1;1-175102-1;1
1289;677697;26.0;2;1-175102-1;1-175102-1;1
1287;677695;26.0;2;1-175102-1;1-175102-1;1
1286;677694;26.0;2;1-175102-1;1-175102-1;1
1464;677872;26.0;119;1-175102-1;1-175102-1;1
1465;677873;26.0;131;1-175102-1;1-175102-1;1
1466;677874;26.0;207;1-175102-1;1-175102-1;1
1288;677696;26.0;2;1-175102-1;1-175102-1;1
1294;677702;26.0;1;1-175102-1;1-175102-1;1
1295;677703;26.0;1;1-175102-1;1-175102-1;1
1296;677704;26.0;119;1-175102-1;1-175102-1;1
1297;677705;26.0;131;1-175102-1;1-175102-1;1
1298;677706;26.0;207;1-175102-1;1-175102-1;1
958;659391;26.0;49;1-175102-1;1-175102-1;1
957;659390;26.0;156;1-175102-1;1-175102-1;1
956;659389;26.0;133;1-175102-1;1-175102-1;1
949;659382;26.0;156;1-175102-1;1-175102-1;1
948;659381;26.0;133;1-175102-1;1-175102-1;1
947;659380;26.0;49;1-175102-1;1-175102-1;1
1381;677789;26.0;10;1-175102-1;1-175102-1;1
1380;677788;26.0;23;1-175102-1;1-175102-1;1
1379;677787;26.0;3;1-175102-1;1-175102-1;1
1378;677786;26.0;23;1-175102-1;1-175102-1;1
1473;677881;26.0;119;1-175102-1;1-175102-1;1
1474;677882;26.0;131;1-175102-1;1-175102-1;1
1376;677784;26.0;10;1-175102-1;1-175102-1;1
866;659273;26.0;49;1-175102-1;1-175102-1;1
4;648799;26.0;5;1-175102-1;1-175102-1;1
3;648798;26.0;74;1-175102-1;1-175102-1;1
864;659271;26.0;156;1-175102-1;1-175102-1;1
2;648763;26.0;5;1-175102-1;1-175102-1;1
1;648762;26.0;72;1-175102-1;1-175102-1;1
1475;677883;26.0;207;1-175102-1;1-175102-1;1
1479;677887;26.0;1;1-175102-1;1-175102-1;1
11;648806;26.0;74;1-175102-1;1-175102-1;1
865;659272;26.0;133;1-175102-1;1-175102-1;1
1478;677886;26.0;1;1-175102-1;1-175102-1;1
12;648807;26.0;5;1-175102-1;1-175102-1;1
1488;677896;26.0;1;172781-1;1-175102-1;2
1487;677895;26.0;1;172781-1;1-175102-1;2
1285;677693;26.0;24;1-175102-1;172781-1;2
1284;677692;26.0;24;1-175102-1;172781-1;2
955;659388;24.0;178;1-175102-1;SXAM-001T-PO.6;3
6;648801;24.0;142;1-175102-1;SXAM-001T-PO.6;3
7;648802;24.0;116;1-175102-1;SXAM-001T-PO.6;3
8;648803;24.0;116;1-175102-1;SXAM-001T-PO.6;3
1301;677709;24.0;296;1-175102-1;SXAM-001T-PO.6;3
1302;677710;24.0;238;1-175102-1;SXAM-001T-PO.6;3
950;659383;24.0;30;1-175102-1;SXAM-001T-PO.6;3
954;659387;24.0;30;1-175102-1;SXAM-001T-PO.6;3
